"","CONTROL","AGE1","METRO3","REGION","LMED","FMR","L30","L50","L80","IPOV","BEDRMS","BUILT","STATUS","TYPE","VALUE","VACANCY","TENURE","NUNITS","ROOMS","WEIGHT","PER","ZINC2","ZADEQ","ZSMHC","STRUCTURETYPE","OWNRENT","UTILITY","OTHERCOST","COST06","COST12","COST08","COSTMED","TOTSAL","ASSISTED","GLMED","GL30","GL50","GL80","APLMED","ABL30","ABL50","ABL80","ABLMED","BURDEN","INCRELAMIPCT","INCRELAMICAT","INCRELPOVPCT","INCRELPOVCAT","INCRELFMRPCT","INCRELFMRCAT","COST06RELAMIPCT","COST06RELAMICAT","COST06RELPOVPCT","COST06RELPOVCAT","COST06RELFMRPCT","COST06RELFMRCAT","COST08RELAMIPCT","COST08RELAMICAT","COST08RELPOVPCT","COST08RELPOVCAT","COST08RELFMRPCT","COST08RELFMRCAT","COST12RELAMIPCT","COST12RELAMICAT","COST12RELPOVPCT","COST12RELPOVCAT","COST12RELFMRPCT","COST12RELFMRCAT","COSTMedRELAMIPCT","COSTMedRELAMICAT","COSTMedRELPOVPCT","COSTMedRELPOVCAT","COSTMedRELFMRPCT","COSTMedRELFMRCAT","FMTZADEQ","FMTMETRO3","FMTBUILT","FMTSTRUCTURETYPE","FMTBEDRMS","FMTOWNRENT","FMTCOST06RELPOVCAT","FMTCOST08RELPOVCAT","FMTCOST12RELPOVCAT","FMTCOSTMEDRELPOVCAT","FMTINCRELPOVCAT","FMTCOST06RELFMRCAT","FMTCOST08RELFMRCAT","FMTCOST12RELFMRCAT","FMTCOSTMEDRELFMRCAT","FMTINCRELFMRCAT","FMTCOST06RELAMICAT","FMTCOST08RELAMICAT","FMTCOST12RELAMICAT","FMTCOSTMEDRELAMICAT","FMTINCRELAMICAT","FMTASSISTED","FMTBURDEN","FMTREGION","FMTSTATUS"
"40469","'589939580142'",60,"'2'","'2'",69200,1081,16600,27700,44300,15470,3,1950,"'1'",1,120000,-6,"'1'",1,6,2673.8253037,2,5974,"'1'",329,1,"'1'",112.5,58.333333333,968.3479005,1431.734938,1113.2990731,868.05346795,6000,-9,69200,16600,27700,44300,55360,21580,36010,57590,71968,0.6608637429,10.791184971,1,38.61667744,1,13.815911193,1,53.821026039,3,250.38084046,4,89.578899214,2,61.877449596,4,287.86013526,4,102.98788836,3,79.576197088,4,370.19649335,4,132.44541517,3,48.246635613,2,224.44821408,4,80.300968358,2,"'1 Adequate'","'-5'","'1940-1959'","'1 Single Family'","'3 3BR'","'1 Owner'","'4 200%+ Poverty'","'4 200%+ Poverty'","'4 200%+ Poverty'","'4 200%+ Poverty'","'1 LTE Poverty'","'2 50.1 - 100% FMR'","'3 GT FMR'","'3 GT FMR'","'2 50.1 - 100% FMR'","'1 LTE 50% FMR'","'3 50 - 60% AMI'","'4 60 - 80% AMI'","'4 60 - 80% AMI'","'2 30 - 50% AMI'","'1 LTE 30% AMI'","'.'","'3 50% or More'","'-5'","'-5'"
"5877","'189927710143'",82,"'2'","'3'",61300,1134,12900,21500,34350,11096,3,1975,"'1'",1,100000,-6,"'1'",1,6,2819.3655078,1,20700,"'1'",424,1,"'1'",173,83.333333333,920.92880597,1307.0846706,1041.7214498,837.35011218,0,-9,61300,12900,21500,34350,42910,19165.714286,31942.857143,51034.285714,63752,0.2457971014,48.240503379,2,186.55371305,3,45.634920635,1,57.781955451,3,331.98587093,4,81.210653084,2,65.360863962,4,375.53044334,4,91.862561713,2,82.010582919,5,471.19130157,4,115.26319846,3,52.537966632,3,301.85656531,4,73.840397899,2,"'1 Adequate'","'-5'","'1960-1979'","'1 Single Family'","'3 3BR'","'1 Owner'","'4 200%+ Poverty'","'4 200%+ Poverty'","'4 200%+ Poverty'","'4 200%+ Poverty'","'3 150-200% Poverty'","'2 50.1 - 100% FMR'","'2 50.1 - 100% FMR'","'3 GT FMR'","'2 50.1 - 100% FMR'","'1 LTE 50% FMR'","'3 50 - 60% AMI'","'4 60 - 80% AMI'","'5 80 - 100% AMI'","'3 50 - 60% AMI'","'2 30 - 50% AMI'","'.'","'1 Less than 30%'","'-5'","'-5'"
"40006","'589490590149'",56,"'1'","'1'",76291,1259,18708,31181,47213,15492,3,1920,"'1'",1,-6,-6,"'2'",2,7,2476.9442072,2,53974,"'1'",608,2,"'2'",108,0,608,608,608,608,54000,0,76291,18708,31181,47213,61032.8,24320.4,40535.3,61376.9,79342.64,0.1351761959,88.434415593,5,348.39917377,4,107.17633042,3,30.651866386,1,156.98424994,3,48.292295473,1,30.651866386,1,156.98424994,3,48.292295473,1,30.651866386,1,156.98424994,3,48.292295473,1,30.651866386,1,156.98424994,3,48.292295473,1,"'1 Adequate'","'Central City'","'-5'","'2 2-4 units'","'3 3BR'","'2 Renter'","'3 150-200% Poverty'","'3 150-200% Poverty'","'3 150-200% Poverty'","'3 150-200% Poverty'","'4 200%+ Poverty'","'1 LTE 50% FMR'","'1 LTE 50% FMR'","'1 LTE 50% FMR'","'1 LTE 50% FMR'","'3 GT FMR'","'1 LTE 30% AMI'","'1 LTE 30% AMI'","'1 LTE 30% AMI'","'1 LTE 30% AMI'","'5 80 - 100% AMI'","'0 Not Assisted'","'1 Less than 30%'","'-5'","'-5'"
"23354","'389952910141'",63,"'2'","'4'",70724,1806,21223,35343,55811,18050,3,1970,"'1'",1,380000,-6,"'1'",1,7,2659.9167503,3,387009,"'1'",865,1,"'1'",289.83333333,166.66666667,2981.962796,4449.3550815,3440.9748427,2664.3637596,72800,-9,70724,21223,35343,55811,63651.6,24524.355556,40840.8,64492.711111,73552.96,0.0268210817,608.01142469,7,2144.0941828,4,535.72674419,3,162.1668412,7,660.82278028,4,165.11421905,3,187.12910222,7,762.54290142,4,190.53016848,3,241.96742491,7,986.00666626,4,246.36517616,3,144.89498503,7,590.44072235,4,147.52844738,3,"'1 Adequate'","'-5'","'1960-1979'","'1 Single Family'","'3 3BR'","'1 Owner'","'4 200%+ Poverty'","'4 200%+ Poverty'","'4 200%+ Poverty'","'4 200%+ Poverty'","'4 200%+ Poverty'","'3 GT FMR'","'3 GT FMR'","'3 GT FMR'","'3 GT FMR'","'3 GT FMR'","'7 120% AMI +'","'7 120% AMI +'","'7 120% AMI +'","'7 120% AMI +'","'7 120% AMI +'","'.'","'1 Less than 30%'","'West'","'-5'"
"54132","'731530490148'",55,"'2'","'3'",62066,1249,13170,21924,35073,12019,4,1995,"'1'",1,160000,-6,"'1'",1,7,1302.0640437,1,95400,"'1'",1631,1,"'1'",177,116.66666667,1357.0194229,1974.8688062,1550.2876531,1223.2935128,94000,-9,62066,13170,21924,35073,43446.2,21824.571429,36331.2,58120.971429,71996.56,0.2051572327,219.58191971,7,793.74323987,4,190.95276221,3,75.393570075,4,451.62473513,4,108.64847261,3,86.131206994,5,515.94563709,4,124.12231009,3,109.72017587,6,657.2489579,4,158.1159973,3,67.963997881,4,407.11989777,4,97.941834493,2,"'1 Adequate'","'-5'","'1990-1999'","'1 Single Family'","'4 4BR+'","'1 Owner'","'4 200%+ Poverty'","'4 200%+ Poverty'","'4 200%+ Poverty'","'4 200%+ Poverty'","'4 200%+ Poverty'","'3 GT FMR'","'3 GT FMR'","'3 GT FMR'","'2 50.1 - 100% FMR'","'3 GT FMR'","'4 60 - 80% AMI'","'5 80 - 100% AMI'","'6 100 - 120% AMI'","'4 60 - 80% AMI'","'7 120% AMI +'","'.'","'1 Less than 30%'","'-5'","'-5'"
"20916","'384962730142'",68,"'2'","'1'",77566,1277,16492,27468,41571,11067,3,1930,"'1'",1,-6,-6,"'2'",2,6,2010.186723,1,9900,"'1'",499,2,"'2'",99.333333333,0,499,499,499,499,0,0,77566,16492,27468,41571,54296.2,24502.4,40809.6,61762.628571,80668.64,0.6048484848,18.233320196,1,89.455136893,1,19.381362569,1,24.743196365,1,180.35601337,3,39.07595928,1,24.743196365,1,180.35601337,3,39.07595928,1,24.743196365,1,180.35601337,3,39.07595928,1,24.743196365,1,180.35601337,3,39.07595928,1,"'1 Adequate'","'-5'","'-5'","'2 2-4 units'","'3 3BR'","'2 Renter'","'3 150-200% Poverty'","'3 150-200% Poverty'","'3 150-200% Poverty'","'3 150-200% Poverty'","'1 LTE Poverty'","'1 LTE 50% FMR'","'1 LTE 50% FMR'","'1 LTE 50% FMR'","'1 LTE 50% FMR'","'1 LTE 50% FMR'","'1 LTE 30% AMI'","'1 LTE 30% AMI'","'1 LTE 30% AMI'","'1 LTE 30% AMI'","'1 LTE 30% AMI'","'0 Not Assisted'","'3 50% or More'","'-5'","'-5'"
"63293","'999900021348'",48,"'4'","'2'",52006,974,13008,21662,34661,15470,4,1940,"'1'",1,100000,-6,"'1'",1,7,2640.6583981,2,85002,"'1'",914,1,"'1'",176,58.333333333,898.92880597,1285.0846706,1019.7214498,815.35011218,85000,-9,52006,13008,21662,34661,41604.8,18861.6,31409.9,50258.45,60326.96,0.1290322581,204.30815675,7,549.4634777,4,218.17761807,3,59.603786166,3,232.43149476,4,92.292485213,2,67.612984299,4,263.66424042,4,104.69419403,3,85.20798466,5,332.27787216,4,131.93887788,3,54.062071895,3,210.82097277,4,83.71151049,2,"'1 Adequate'","'-5'","'1940-1959'","'1 Single Family'","'4 4BR+'","'1 Owner'","'4 200%+ Poverty'","'4 200%+ Poverty'","'4 200%+ Poverty'","'4 200%+ Poverty'","'4 200%+ Poverty'","'2 50.1 - 100% FMR'","'3 GT FMR'","'3 GT FMR'","'2 50.1 - 100% FMR'","'3 GT FMR'","'3 50 - 60% AMI'","'4 60 - 80% AMI'","'5 80 - 100% AMI'","'3 50 - 60% AMI'","'7 120% AMI +'","'.'","'1 Less than 30%'","'-5'","'-5'"
"21224","'386452330149'",47,"'1'","'1'",63000,2124,25750,42950,68700,23828,4,1950,"'1'",1,250000,-6,"'1'",1,7,1483.9440079,4,179961,"'1'",1161,1,"'1'",332,141.66666667,2135.1553483,3100.5450097,2437.1369579,1926.2086138,135000,-9,63000,25750,42950,68700,63000,29870,49822,79692,73080,0.0774167736,285.65238095,7,755.2501259,4,211.81850282,3,116.86674046,6,358.42795841,4,100.52520472,3,133.3955642,7,409.12153062,4,114.74279463,3,169.70689709,7,520.48766321,4,145.97669537,3,105.43013759,4,323.35212586,4,90.687787843,2,"'1 Adequate'","'Central City'","'1940-1959'","'1 Single Family'","'4 4BR+'","'1 Owner'","'4 200%+ Poverty'","'4 200%+ Poverty'","'4 200%+ Poverty'","'4 200%+ Poverty'","'4 200%+ Poverty'","'3 GT FMR'","'3 GT FMR'","'3 GT FMR'","'2 50.1 - 100% FMR'","'3 GT FMR'","'6 100 - 120% AMI'","'7 120% AMI +'","'7 120% AMI +'","'4 60 - 80% AMI'","'7 120% AMI +'","'.'","'1 Less than 30%'","'-5'","'-5'"
"46869","'686408640140'",35,"'1'","'1'",64630,1474,25968,43312,68753,23500,2,1970,"'1'",1,-6,-6,"'2'",384,4,2554.3429968,4,99987,"'1'",943,5,"'2'",0,12.5,943,943,943,943,4000,0,64630,25968,43312,68753,64630,23371.2,38980.8,61877.7,58167,0.1131747127,154.70679251,7,425.47659574,4,169.58446404,3,64.847765915,2,160.5106383,3,63.975576662,2,64.847765915,2,160.5106383,3,63.975576662,2,64.847765915,2,160.5106383,3,63.975576662,2,64.847765915,2,160.5106383,3,63.975576662,2,"'1 Adequate'","'Central City'","'1960-1979'","'5 50+ units'","'2 2BR'","'2 Renter'","'3 150-200% Poverty'","'3 150-200% Poverty'","'3 150-200% Poverty'","'3 150-200% Poverty'","'4 200%+ Poverty'","'2 50.1 - 100% FMR'","'2 50.1 - 100% FMR'","'2 50.1 - 100% FMR'","'2 50.1 - 100% FMR'","'3 GT FMR'","'2 30 - 50% AMI'","'2 30 - 50% AMI'","'2 30 - 50% AMI'","'2 30 - 50% AMI'","'7 120% AMI +'","'0 Not Assisted'","'1 Less than 30%'","'-5'","'-5'"
"7709","'199467900247'",54,"'5'","'2'",57596,664,12648,21054,33671,12005,2,1970,"'1'",1,-6,-6,"'2'",8,4,2383.3463864,1,11876,"'1'",297,3,"'2'",59,10.75,297,297,297,297,0,1,57596,12648,21054,33671,40317.2,16261.714286,27069.428571,43291.285714,51836.4,0.3001010441,29.456410663,1,98.92544773,1,44.713855422,1,22.918258212,1,98.95876718,1,44.728915663,1,22.918258212,1,98.95876718,1,44.728915663,1,22.918258212,1,98.95876718,1,44.728915663,1,22.918258212,1,98.95876718,1,44.728915663,1,"'1 Adequate'","'-5'","'1960-1979'","'3 5-19 units'","'2 2BR'","'2 Renter'","'1 LTE Poverty'","'1 LTE Poverty'","'1 LTE Poverty'","'1 LTE Poverty'","'1 LTE Poverty'","'1 LTE 50% FMR'","'1 LTE 50% FMR'","'1 LTE 50% FMR'","'1 LTE 50% FMR'","'1 LTE 50% FMR'","'1 LTE 30% AMI'","'1 LTE 30% AMI'","'1 LTE 30% AMI'","'1 LTE 30% AMI'","'1 LTE 30% AMI'","'1 Assisted'","'2 30% to 50%'","'-5'","'-5'"
